Date, Open, High, Low, Close, Volume
07/06/2023,30.5,30.5,29.85,30.05,300
07/05/2023,29.85,29.85,29.85,29.85,300
07/03/2023,30.5,30.5,29.75,29.85,4700
06/30/23,30,30,30,30,100
06/29/23,29.8,29.8,29.8,29.8,400
06/27/23,30.8,30.8,30.8,30.8,100
06/26/23,30,32.6,29.75,30.8,300
06/23/23,30,30,28,29.75,1900
06/22/23,30,30,30,30,200
06/21/23,30,30,30,30,100
06/20/23,30,30,30,30,15800
06/19/23,30,30,30,30,100
06/16/23,30,30,30,30,200
06/15/23,30,30,30,30,49000
06/14/23,30,30,30,30,54500
06/13/23,30,30,30,30,25000
06/12/2023,30,31,27.3,29.85,9800
06/09/2023,30,30,30,30,4000
06/08/2023,30,30,28,29.75,7000
06/07/2023,27.1,31,26,27.3,1300
06/06/2023,31,31,28.5,28.7,1300
06/05/2023,31,31,31,31,200
06/02/2023,28.5,28.5,28.5,28.5,400
05/31/23,28,28.55,26,27.1,1800
05/30/23,26,26,26,26,1000
05/29/23,28,28,26,26.2,2700
05/26/23,25.35,27.15,25,26.15,2000
05/25/23,27,27.25,27,27.15,9900
05/24/23,27.25,27.25,27.25,27.25,3100
05/23/23,27.5,27.5,27,27.25,200
05/22/23,29,29,27.7,28.15,300
05/19/23,27.5,30,27.5,28.75,200
05/18/23,31,31,28.7,29.9,300
05/17/23,30,30,27.7,28.65,2400
05/16/23,30,30,30,30,100
05/15/23,31.3,31.3,31,31.05,600
05/12/2023,31.3,31.3,31.3,31.3,1600
05/11/2023,31,31.4,31,31.3,400
05/10/2023,31.4,31.4,31.4,31.4,100
05/09/2023,31.5,31.5,27.7,28.55,700
05/08/2023,31.5,31.5,28.9,29.75,300
05/05/2023,29,29,27.5,28.65,700
05/04/2023,28.9,28.9,28.9,28.9,100
05/03/2023,29,29,28.9,28.9,600
04/27/23,27.1,27.8,27.1,27.45,200
04/26/23,27,27.1,27,27,1200
04/25/23,28,28,28,28,300
04/24/23,27.8,28,27,27.4,1900
04/20/23,27.8,27.8,27.8,27.8,1200
04/19/23,27.8,27.8,27,27.4,6800
04/18/23,29.9,29.9,27,27.8,4400
04/17/23,27.15,29.9,27,27.35,2500
04/14/23,29,29,27,27.2,6100
04/13/23,29.9,29.9,29,29.05,3800
04/12/2023,29,29.9,29,29.15,1800
04/11/2023,29,29,29,29,13600
04/06/2023,29,29.5,29,29,4800
04/05/2023,27.9,29,27.5,27.9,11800
04/04/2023,27.9,27.9,27.9,27.9,5000
04/03/2023,25.75,25.75,25.7,25.7,600
03/31/23,26,26,25.7,25.75,500
03/30/23,27,27,26.8,26.95,2100
03/29/23,27,27,27,27,1300
03/28/23,27,27,27,27,200
03/27/23,25.6,25.6,25.6,25.6,5200
03/24/23,25.6,25.6,25.6,25.6,100
03/23/23,26.9,26.9,25.5,25.55,3900
03/22/23,27,27,26.9,26.9,500
03/21/23,27,27,25.5,25.85,900
03/20/23,26.95,27,26.95,27,7700
03/17/23,25.1,25.2,25.1,25.1,10600
03/16/23,25,26.95,25,25.1,10000
03/15/23,25.45,25.45,25.45,25.45,300
03/14/23,25.5,25.9,25,25.45,5500
03/10/2023,25,25,25,25,500
03/09/2023,24.95,25,24.95,24.95,2100
03/08/2023,24,25,22,24.4,8500
03/07/2023,22.4,24,22.4,22.85,1200
03/06/2023,22.4,24,22,22.55,1300
03/02/2023,22,22,22,22,700
03/01/2023,22.5,22.5,22,22.4,1600
02/28/23,22,22.5,22,22.25,400
02/24/23,22,22,22,22,200
02/23/23,23,23,22,22.6,400
02/22/23,22,23,22,22.3,36600
02/21/23,21.5,21.55,21.5,21.55,1800
02/20/23,21.5,21.5,21.5,21.5,400
02/17/23,21.5,21.5,21.5,21.5,100
02/16/23,21.6,21.6,21,21.1,800
02/15/23,22,23,21.5,21.65,2700
02/14/23,21.6,21.6,21.6,21.6,4100
02/13/23,23,23,21.6,22.4,19200
02/10/2023,21.5,23,21.5,22.55,50700
02/09/2023,21.5,21.5,21.5,21.5,4000
02/08/2023,21.5,21.5,21.5,21.5,3100
02/07/2023,21.5,21.5,21.5,21.5,100
02/06/2023,23,23,21.5,21.7,800
02/03/2023,23,23,23,23,100
02/02/2023,21.5,21.5,21.5,21.5,1700
02/01/2023,21.5,23,21.5,21.6,7100
01/31/23,21,21.3,21,21.1,6900
01/30/23,20.9,21.5,20.9,21.05,8500
01/26/23,21,21,21,21,100
01/24/23,21,21,21,21,2100
01/23/23,21.3,21.3,21.25,21.3,500
01/20/23,21.45,21.45,21.45,21.45,400
01/18/23,20,21.45,20,20.3,5000
01/17/23,20.5,20.5,20.5,20.5,13900
01/16/23,21.75,21.75,20.5,20.65,1000
01/13/23,21.9,21.9,20.5,21.4,3900
01/12/2023,22,22,20.5,20.9,3000
01/11/2023,22.3,22.3,21,21.9,10700
01/10/2023,21.7,22.3,21.65,22.1,5200
01/09/2023,22,22.45,22,22.4,4600
01/06/2023,22.5,22.5,21.7,21.95,300
01/05/2023,22.5,22.5,22,22.4,4800
01/04/2023,22.15,22.5,22.1,22.45,6000
01/03/2023,22,22.5,22,22.45,6900
12/30/22,22.1,22.5,22.1,22.45,10800
12/29/22,21,21,21,21,100
12/28/22,22.5,22.5,20.5,22.05,900
12/23/22,22.5,22.5,22.5,22.5,1000
12/21/22,22.25,22.25,22,22.05,9600
12/20/22,22.05,22.25,22,22.2,5100
12/19/22,21.75,22.25,21.75,22,26600
12/16/22,22,22,22,22,1000
12/15/22,21.9,22,21,21.9,6300
12/14/22,21.9,21.9,21.1,21.8,1700
12/09/2022,22,22,21.3,22,36700
12/08/2022,22,22,22,22,300
12/07/2022,22,22,21.05,21.4,1600
12/06/2022,22,22,22,22,8100
12/05/2022,22,22,22,22,600
12/02/2022,22,22,21.05,21.95,3400
11/29/22,21,21,21,21,400
11/28/22,22.25,23,21,22.15,9400
11/25/22,21,22.5,21,22.35,1100
11/24/22,21,21,21,21,3100
11/23/22,20.95,21,20.95,21,13700
11/22/22,22,22,22,22,100
11/21/22,20.95,21,20.95,21,92200
11/18/22,20,20.95,20,20.7,4000
11/17/22,20,20,20,20,200
11/16/22,20.5,20.5,20.5,20.5,3100
11/15/22,20.5,22.45,20.5,21,400
11/14/22,20.5,20.5,20.5,20.5,6300
11/11/2022,20.5,20.5,20.5,20.5,200
11/10/2022,22,22.05,22,22,10500
11/09/2022,22.25,22.25,22,22.05,700
11/08/2022,22.25,22.25,22,22.25,5200
11/07/2022,22,22,22,22,800
11/04/2022,20.95,22,20.95,21,10500
11/03/2022,20.95,20.95,20.5,20.85,900
11/02/2022,22,22,21,21.2,700
10/31/22,21,21,21,21,24500
10/28/22,21,21,21,21,1000
10/26/22,21,21,21,21,300
10/25/22,20.95,20.95,20,20.3,1500
10/21/22,20.9,21.95,20,20.95,4500
10/19/22,20.45,21,20.45,20.8,1200
10/18/22,20.45,20.45,20,20.05,1300
10/17/22,20,20.45,20,20.45,3600
10/14/22,19.8,21,19.45,21,19700
10/13/22,21.95,21.95,21,21.55,800
10/11/2022,22,22,21.5,21.95,1900
10/07/2022,23,23.7,23,23.05,1300
10/06/2022,23,23,23,23,200
10/05/2022,23.7,23.7,23.7,23.7,3300
10/04/2022,23,23,23,23,600
10/03/2022,24,24,23.7,23.75,5300
09/30/22,23.5,24,23.5,23.75,400
09/29/22,23.5,23.9,23.5,23.85,1100
09/28/22,23.9,23.9,23.9,23.9,900
09/27/22,23.9,23.9,23.9,23.9,1200
09/26/22,23.9,24,23.9,23.95,4500
09/23/22,23.9,23.9,23.9,23.9,4200
09/22/22,23,24,23,23.9,1100
09/21/22,24,24,24,24,500
09/20/22,22,24,22,22.35,1400
09/19/22,22.1,22.1,22.1,22.1,1900
09/16/22,22.1,22.1,22.1,22.1,2500
09/15/22,22.1,22.1,22.1,22.1,1000
09/14/22,23.95,23.95,22.1,23.6,500
09/12/2022,22.1,22.1,22.1,22.1,700
09/09/2022,23,23.5,23,23.2,2800
09/08/2022,23,23,23,23,100
09/07/2022,22.5,23,22,22.5,3500
09/06/2022,23.5,23.5,22,22.5,1100
09/05/2022,23.5,23.5,23,23.15,300
09/02/2022,22.05,23,22.05,22.15,1000
09/01/2022,22,22.6,22,22.1,500
08/30/22,23,23.5,23,23.15,700
08/29/22,23.5,23.5,23,23.25,200
08/26/22,22.5,22.5,21.15,21.7,1100
08/25/22,23.5,23.5,23.5,23.5,200
08/24/22,24,24,24,24,200
08/23/22,24,24,22.5,23.5,300
08/22/22,22.6,24,20.05,22.7,800
08/19/22,22.6,22.6,20.4,22.25,6300
08/17/22,22.6,22.6,22.6,22.6,100
08/16/22,22,22.45,22,22.2,700
08/15/22,20.8,21,20.8,20.95,600
08/11/2022,20.55,21.05,20.55,20.8,600
08/08/2022,20,21.05,20,20.55,200
08/05/2022,21,21,21,21,500
08/04/2022,21,21,21,21,500
08/03/2022,21,21,19,19.5,1000
08/02/2022,21,21,21,21,100
08/01/2022,21,21,21,21,300
07/29/22,19.85,21,19.8,20.4,400
07/28/22,19.85,19.85,19.85,19.85,100
07/27/22,21.9,21.9,19.8,20.5,300
07/22/22,22.2,22.2,21.85,21.9,1300
07/21/22,21.85,22.6,21.85,22.25,200
07/20/22,21.85,21.85,21.85,21.85,100
07/19/22,22.2,22.6,22.2,22.5,800
07/18/22,22.2,22.2,22,22.15,400
07/15/22,22,22.2,22,22,6700
07/14/22,22,22,22,22,4000
07/13/22,22,22,22,22,100
07/12/2022,20.8,20.8,20.8,20.8,4600
07/08/2022,20.8,20.8,20.8,20.8,1900
07/07/2022,19,19.4,19,19.25,2500
07/06/2022,19,19,19,19,200
07/04/2022,19,19,19,19,200
06/30/22,19,19,19,19,600
06/24/22,19.4,19.4,19.4,19.4,400
06/23/22,21.5,22,19.4,20.8,4500
06/22/22,21.5,21.5,21.5,21.5,1800
06/21/22,21.5,21.5,21.05,21.4,400
06/20/22,20.5,21.05,20.5,21,1000
06/17/22,20.5,20.5,20.5,20.5,600
06/16/22,20.5,20.5,20.5,20.5,200
06/15/22,20.5,21.05,20.5,20.8,1500
06/14/22,20.5,20.5,20.5,20.5,400
06/13/22,20.5,20.5,20.5,20.5,100
06/10/2022,21,21.05,21,21.05,200
06/07/2022,20.5,20.5,20.5,20.5,900
06/06/2022,20.5,20.5,20,20.05,3000
06/02/2022,20.5,20.5,20.5,20.5,400
05/31/22,20.5,20.5,20.05,20.15,600
05/30/22,20.5,20.5,20.5,20.5,100
05/27/22,20.5,20.5,20.5,20.5,4500
05/26/22,20.5,20.5,20.5,20.5,1900
05/25/22,20.5,20.5,20.5,20.5,1500
05/24/22,20.8,20.8,20.8,20.8,600
